,outlier,color,EPIC
74,0.1,r_i,210754915.0
97,0.2973213749463701,r_i,210754915.0
17,0.4805205510693586,g_r,210754915.0
76,0.1414213562373095,r_i,210754915.0
91,0.1414213562373095,r_i,210754915.0
29,0.1414213562373095,g_r,210754915.0
28,0.845931439302264,g_r,210754915.0
62,0.4903060268852506,r_i,210754915.0
26,0.364005494464026,g_r,210754915.0
12,0.16401219466856726,g_r,210754915.0
64,1.9184629264074928,r_i,210762863.0
16,1.5232859219463692,g_r,210762863.0
14,1.732887763243771,g_r,210762863.0
78,1.808535318980528,r_i,210762863.0
49,1.4693195704134618,g_r,210762863.0
48,1.842606849004964,g_r,210762863.0
21,1.7753872816937721,g_r,210762863.0
27,2.262675407565124,g_r,210769047.0
60,2.5019992006393608,r_i,210769047.0
35,2.2322410264126944,g_r,210769047.0
63,2.8072228269234345,r_i,210769047.0
22,2.066349438018652,g_r,210769047.0
110,2.9062174729362567,r_i,210769047.0
42,2.899810338625614,g_r,210769047.0
11,2.781797979724624,g_r,210769047.0
87,2.0974508337503406,r_i,210769047.0
92,2.87062710918712,r_i,210769047.0
75,3.244749605131342,r_i,210770541.0
13,3.2215524208058453,g_r,210770541.0
31,3.3514922049737788,g_r,210770541.0
93,3.0348805577814755,r_i,210770541.0
82,4.261173547275445,r_i,210776021.0
85,4.423256718753728,r_i,210776021.0
61,4.265219806762603,r_i,210776021.0
59,4.832401059514824,r_i,210776021.0
96,4.7910437276234505,r_i,210776021.0
99,4.461120935370394,r_i,210776021.0
72,4.895845177290639,r_i,210776021.0
39,4.491113447687557,g_r,210776021.0
0,4.7610503042921115,g_r,210776021.0
19,4.261173547275445,g_r,210776021.0
37,4.981445573325076,g_r,210776021.0
30,4.461120935370394,g_r,210776021.0
32,4.070343965809276,g_r,210776021.0
3,5.7070132293521105,g_r,210779549.0
23,5.0009999000199965,g_r,210779549.0
105,5.260009505694834,r_i,210779549.0
15,5.500909015790026,g_r,210779549.0
55,6.850729888121411,g_r,210784223.0
20,6.760332832043109,g_r,210784223.0
102,6.082146002851295,r_i,210784223.0
33,6.43105745581549,g_r,210784223.0
7,7.8806344922220575,g_r,210784603.0
88,7.0207122145833605,r_i,210784603.0
46,7.540802344578459,g_r,210784603.0
106,7.369511517054573,r_i,210784603.0
6,7.600657866263946,g_r,210784603.0
53,7.208023307398499,g_r,210784603.0
52,7.4229980466116245,g_r,210784603.0
41,8.299843372016126,g_r,210791550.0
103,8.617754928054058,r_i,210791550.0
10,8.997999777728381,g_r,210791550.0
107,8.535385169985009,r_i,210791550.0
70,8.689539688614122,r_i,210791550.0
108,8.153532976569114,r_i,210791550.0
69,8.770570106897269,r_i,210791550.0
79,8.056798371561747,r_i,210791550.0
57,9.710514919405664,r_i,210803812.0
51,9.38936632579643,g_r,210803812.0
68,9.373025125326402,r_i,210803812.0
1,10.488684378891378,g_r,210804032.0
77,10.573121582579102,r_i,210804032.0
104,10.239472642670616,r_i,210804032.0
90,11.97334539717284,r_i,210804191.0
38,11.713453803212786,g_r,210804191.0
98,12.864851339988348,r_i,210815768.0
101,12.040415275230336,r_i,210815768.0
40,12.819243347405493,g_r,210815768.0
18,12.308696112911393,g_r,210815768.0
67,12.06242512930132,r_i,210815768.0
34,12.13,g_r,210815768.0
109,12.580572324024056,r_i,210815768.0
43,13.702674921342911,g_r,210817078.0
8,13.118490766852714,g_r,210817078.0
65,13.423837007353747,r_i,210817078.0
25,13.140380511994314,g_r,210817078.0
5,13.345519847499386,g_r,210817078.0
9,14.15264286273062,g_r,210817106.0
66,14.562187335699262,r_i,210817106.0
89,14.63087488839953,r_i,210817106.0
44,15.185535881225922,g_r,210822528.0
83,16.933543633864712,r_i,210829886.0
81,17.119827686048712,r_i,210830104.0
36,20.01019989905148,g_r,210833622.0
94,20.38246795655521,r_i,210833622.0
56,21.109703929709674,r_i,210837336.0
95,22.90540765845481,r_i,210837725.0
4,23.19407251864148,g_r,210839388.0
86,23.184175637705987,r_i,210839388.0
47,23.75021052538272,g_r,210839388.0
80,23.99355330083479,r_i,210839388.0
50,24.863547614932184,g_r,210840112.0
100,26.530503199147958,r_i,210854098.0
58,27.61021912263645,r_i,210855272.0
45,28.52017531502918,g_r,210860152.0
84,28.6581960353404,r_i,210860152.0
54,38.54018681843668,g_r,210875952.0
24,38.15481227840074,g_r,210875952.0
2,39.650126103204265,g_r,210876759.0
71,39.780534184447546,r_i,210876759.0
73,47.6701048876547,r_i,210886244.0
