,Tmin,Tmax,cluster,threshold
0,3000.0,3249.0,Pleiades,1.234377648663632e+32
1,3250.0,3499.0,Pleiades,1.7262338415391115e+32
2,3500.0,3749.0,Pleiades,1.8459308318630368e+32
3,3750.0,4000.0,Pleiades,2.4358078513825543e+32
4,3000.0,7000.0,Pleiades,1.768140957422684e+32
5,4000.0,7000.0,Pleiades,4.3786243543779585e+32
6,3000.0,3249.0,M44,3.4263181055375126e+32
7,3250.0,3499.0,M44,1.777935685793851e+32
8,3500.0,3749.0,M44,1.1233649523426398e+32
9,3750.0,4000.0,M44,1.0528252619744218e+32
10,3000.0,7000.0,M44,1.9873802655552705e+32
11,4000.0,7000.0,M44,3.303323283917666e+32
12,3000.0,3249.0,M67,
13,3250.0,3499.0,M67,
14,3500.0,3749.0,M67,1.2985666148893263e+33
15,3750.0,4000.0,M67,1.3683131476597485e+33
16,3000.0,7000.0,M67,1.9763193004608312e+33
17,4000.0,7000.0,M67,2.1358529013031427e+33
